Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Doctor Directory,Firefox 65.0,,,2019-04-26 16:07:43,2019-04-26 16:07:54,11.542s,INCOMPLETE
,,,,,,,
Test Cases/Login to admin,Firefox 65.0,,,2019-04-26 16:07:43,2019-04-26 16:07:54,11.136s,PASSED
"openBrowser("""")",Firefox 65.0,,,2019-04-26 16:07:44,2019-04-26 16:07:50,6.616s,PASSED
navigateToUrl(url_admin),Firefox 65.0,,,2019-04-26 16:07:50,2019-04-26 16:07:53,2.238s,PASSED
waitForPageLoad(15),Firefox 65.0,,,2019-04-26 16:07:53,2019-04-26 16:07:53,0.125s,PASSED
"setText(findTestObject(""Page_Log in  Django site admin/input_Username_username""), user_admin)",Firefox 65.0,,,2019-04-26 16:07:53,2019-04-26 16:07:53,0.265s,PASSED
"setText(findTestObject(""Page_Log in  Django site admin/input_Password_password""), pw_admin)",Firefox 65.0,,,2019-04-26 16:07:53,2019-04-26 16:07:53,0.148s,PASSED
"click(findTestObject(""Page_Log in  Django site admin/input""))",Firefox 65.0,,,2019-04-26 16:07:53,2019-04-26 16:07:54,1.205s,PASSED
,,,,,,,
Test Cases/Add test Doctor,Firefox 65.0,,,2019-04-26 16:07:54,2019-04-26 16:07:54,0.016s,PASSED
