Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Doctor Directory,Firefox 65.0,,,2019-04-26 15:40:32,2019-04-26 15:40:45,13.196s,FAILED
,,,,,,,
Test Cases/Login to admin,Firefox 65.0,,,2019-04-26 15:40:32,2019-04-26 15:40:43,10.773s,PASSED
"openBrowser("""")",Firefox 65.0,,,2019-04-26 15:40:33,2019-04-26 15:40:40,7.175s,PASSED
navigateToUrl(url_admin),Firefox 65.0,,,2019-04-26 15:40:40,2019-04-26 15:40:42,1.870s,PASSED
waitForPageLoad(15),Firefox 65.0,,,2019-04-26 15:40:42,2019-04-26 15:40:42,0.092s,PASSED
"setText(findTestObject(""Page_Log in  Django site admin/input_Username_username""), user_admin)",Firefox 65.0,,,2019-04-26 15:40:42,2019-04-26 15:40:42,0.132s,PASSED
"setText(findTestObject(""Page_Log in  Django site admin/input_Password_password""), pw_admin)",Firefox 65.0,,,2019-04-26 15:40:42,2019-04-26 15:40:42,0.098s,PASSED
"click(findTestObject(""Page_Log in  Django site admin/input""))",Firefox 65.0,,,2019-04-26 15:40:42,2019-04-26 15:40:43,0.870s,PASSED
,,,,,,,
Test Cases/Add test Doctor,Firefox 65.0,,,2019-04-26 15:40:43,2019-04-26 15:40:44,0.961s,FAILED
navigateToUrl(url_dr_import),Firefox 65.0,,,2019-04-26 15:40:44,2019-04-26 15:40:44,0.332s,PASSED
"uploadFile(findTestObject(""Page_Import From CSV/input_File_file upload""), ""/media/roph_test_dr_import.csv"")",Firefox 65.0,,,2019-04-26 15:40:44,2019-04-26 15:40:44,0.311s,FAILED
