Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Doctor Directory,Firefox 65.0,,,2019-04-26 16:14:49,2019-04-26 16:15:10,20.315s,PASSED
,,,,,,,
Test Cases/Login to admin,Firefox 65.0,,,2019-04-26 16:14:50,2019-04-26 16:15:04,14.037s,PASSED
"openBrowser("""")",Firefox 65.0,,,2019-04-26 16:14:50,2019-04-26 16:14:59,8.884s,PASSED
navigateToUrl(url_admin),Firefox 65.0,,,2019-04-26 16:14:59,2019-04-26 16:15:03,3.463s,PASSED
waitForPageLoad(15),Firefox 65.0,,,2019-04-26 16:15:03,2019-04-26 16:15:03,0.083s,PASSED
"setText(findTestObject(""Page_Log in  Django site admin/input_Username_username""), user_admin)",Firefox 65.0,,,2019-04-26 16:15:03,2019-04-26 16:15:03,0.184s,PASSED
"setText(findTestObject(""Page_Log in  Django site admin/input_Password_password""), pw_admin)",Firefox 65.0,,,2019-04-26 16:15:03,2019-04-26 16:15:03,0.135s,PASSED
"click(findTestObject(""Page_Log in  Django site admin/input""))",Firefox 65.0,,,2019-04-26 16:15:03,2019-04-26 16:15:04,0.752s,PASSED
,,,,,,,
Test Cases/Add test Doctor,Firefox 65.0,,,2019-04-26 16:15:04,2019-04-26 16:15:08,4.697s,PASSED
navigateToUrl(url_dr_import),Firefox 65.0,,,2019-04-26 16:15:04,2019-04-26 16:15:05,0.399s,PASSED
"check(findTestObject(""Page_Import From CSV/input_Dry run_dry_run""))",Firefox 65.0,,,2019-04-26 16:15:05,2019-04-26 16:15:05,0.815s,PASSED
"uploadFile(findTestObject(""Page_Import From CSV/input_File_file upload""), ""/Users/mirabel/git/roph-testing/media/roph_test_dr_import.csv"")",Firefox 65.0,,,2019-04-26 16:15:05,2019-04-26 16:15:06,0.207s,PASSED
"click(findTestObject(""Page_Import From CSV/input submit import file""))",Firefox 65.0,,,2019-04-26 16:15:06,2019-04-26 16:15:08,2.779s,PASSED
waitForPageLoad(30),Firefox 65.0,,,2019-04-26 16:15:08,2019-04-26 16:15:08,0.029s,PASSED
